"sim type","cost homozygosity","alleles","swarm","rate of qlness","mean","sd","median","proportion of extinctions","DMP at gen 6","sd","range"
"QL_no_reproduction_multiple_founder",0.05,15,2,0.3,5.1869,1.91680353807592,5,0.106983389891052,0.282493252678418,0.0662966321455259,"0.15--0.50"
"QL_no_reproduction_multiple_founder",0.05,15,2,0.5,3.8906,1.36213699080459,4,0.341455383602239,0.32839587911996,0.0794213814862441,"0.13--0.50"
"QL_no_reproduction_multiple_founder",0.05,15,4,0.3,6.7176,2.44905084165325,7,0.022196147452821,0.240542324172925,0.0514385371706827,"0.15--0.50"
"QL_no_reproduction_multiple_founder",0.05,15,4,0.5,4.9902,1.85920671926564,5,0.0961677512653651,0.273911868534483,0.0680504239188907,"0.15--0.50"
"QL_no_reproduction_multiple_founder",0.05,15,6,0.3,7.9297,2.62176377168643,8,0.00447984071677451,0.217383660392281,0.0401367729304394,"0.14--0.50"
"QL_no_reproduction_multiple_founder",0.05,15,6,0.5,5.8732,2.13250475208187,6,0.027048063825647,0.242901355103772,0.0561396506842126,"0.14--0.50"
"QL_no_reproduction_multiple_founder",0.5,15,2,0.3,5.0222,1.83859870676569,5,0.1412623443538,0.282178302904387,0.0688452894384293,"0.14--0.50"
"QL_no_reproduction_multiple_founder",0.5,15,2,0.5,3.7891,1.31125631716798,4,0.421631000578369,0.33070465317783,0.0805869056478319,"0.12--0.50"
"QL_no_reproduction_multiple_founder",0.5,15,4,0.3,6.5856,2.41164969376245,6,0.0248659190638713,0.236091238432163,0.0540522015778299,"0.14--0.50"
"QL_no_reproduction_multiple_founder",0.5,15,4,0.5,4.9069,1.83034625323753,5,0.106105300795566,0.273526948515155,0.0713326495151199,"0.14--0.50"
"QL_no_reproduction_multiple_founder",0.5,15,6,0.3,7.6211,2.61082677166509,8,0.00616179685947128,0.213113630133089,0.0425417062923191,"0.14--0.50"
"QL_no_reproduction_multiple_founder",0.5,15,6,0.5,5.6994,2.0878399238339,5,0.0335362907122838,0.241983168284053,0.0591390911445861,"0.14--0.50"
